views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
151991,1,1944,2013-06-16,2018-10-12,292,0,DA,1
7464,1,2084,2013-01-26,2018-10-11,339,0,DA,1
221388,0,2392,2012-03-12,2018-09-29,404,0,HU,0
153058,0,2273,2012-07-22,2018-10-12,462,0,DA,1
29212,1,1411,2014-12-01,2018-10-12,553,0,HU,1
8290,1,1949,2013-06-07,2018-10-08,655,0,DA,1
589166,1,1672,2014-03-15,2018-10-12,778,0,HU,0
93331,0,1745,2013-12-09,2018-09-19,994,0,HU,0
914606,0,2064,2013-02-16,2018-10-12,1084,0,NO,0
24154,0,1219,2015-06-08,2018-10-09,1246,0,DA,1
3672,0,1827,2013-10-09,2018-10-10,1250,0,HU,0
4984,0,982,2016-02-03,2018-10-12,1316,0,DA,1
14681,1,330,2017-11-16,2018-10-12,1340,0,HU,1
1412,1,2226,2012-08-02,2018-09-06,1359,0,NO,0
235152,0,1804,2013-11-03,2018-10-12,1425,0,DA,0
12609,0,1941,2013-06-10,2018-10-03,1694,0,DA,1
53535,1,1608,2014-05-18,2018-10-12,1799,0,HU,1
10494,1,1429,2014-11-13,2018-10-12,1886,0,HU,1
21741,0,620,2017-01-30,2018-10-12,1973,0,NO,1
1838,0,1260,2015-03-18,2018-08-29,2038,0,DA,0
4008,0,2657,2011-06-28,2018-10-06,2140,0,DA,1
5616,1,1465,2014-10-08,2018-10-12,2184,0,DA,1
3377,0,906,2016-04-19,2018-10-12,2510,0,NO,1
68366,1,1294,2015-03-28,2018-10-12,2564,0,HU,1
2608,0,2062,2013-02-18,2018-10-12,2697,0,DA,1
2097,0,2098,2013-01-12,2018-10-11,2814,0,HU,0
213897,0,1464,2014-10-09,2018-10-12,2848,0,DA,0
26376,0,2594,2011-08-24,2018-09-30,2958,0,NO,0
2813,0,1470,2014-10-02,2018-10-11,3006,0,NO,1
10153,1,741,2016-10-01,2018-10-12,3249,0,HU,1
1639966,0,1655,2014-04-01,2018-10-12,3653,0,HU,0
955,0,1830,2013-09-07,2018-09-11,3878,0,DA,0
1794,1,1646,2014-04-09,2018-10-11,3923,0,HU,0
8104,0,1245,2015-05-16,2018-10-12,4313,0,DA,1
1074,1,963,2016-02-21,2018-10-11,4773,0,HU,0
11570,0,1884,2013-08-14,2018-10-11,4791,0,NO,1
238125,0,434,2017-08-04,2018-10-12,4957,0,HU,0
770,1,616,2017-02-03,2018-10-12,5013,0,DA,0
390871,1,1878,2013-08-21,2018-10-12,5218,0,DA,1
5538,1,1945,2013-06-15,2018-10-12,5541,0,DA,1
13947,0,1625,2014-05-01,2018-10-12,5707,0,DA,1
609,0,1422,2014-11-18,2018-10-10,5808,0,NO,1
10960,1,2342,2012-05-14,2018-10-12,5948,0,DA,1
39712,1,1241,2015-05-20,2018-10-12,5950,0,HU,1
5021,1,386,2017-09-21,2018-10-12,5966,0,DA,1
1397,0,2319,2011-07-04,2017-11-08,6026,1,DA,0
86006,0,2803,2011-02-08,2018-10-12,6054,0,NO,1
1740,1,2307,2012-06-17,2018-10-11,6055,0,NO,1
153406,0,2778,2011-03-02,2018-10-09,6076,0,HU,0
19858,1,1501,2014-08-31,2018-10-10,6362,0,DA,1
23605,1,487,2017-06-12,2018-10-12,6432,0,NO,1
84426,0,2490,2011-12-18,2018-10-12,6474,0,DA,0
2613,0,231,2018-02-23,2018-10-12,6688,0,HU,1
1519,0,2130,2012-12-03,2018-10-03,6932,0,NO,0
112666,1,1539,2014-07-26,2018-10-12,7011,0,HU,1
36460,0,1785,2013-11-22,2018-10-12,7366,0,DA,1
1044,0,1294,2015-03-28,2018-10-12,7410,0,HU,0
4399,0,2191,2012-10-12,2018-10-12,7620,0,HU,0
14005,1,2373,2012-04-13,2018-10-12,7823,0,DA,1
1290,0,1771,2013-10-29,2018-09-04,7843,0,HU,0
12818,0,1798,2013-11-09,2018-10-12,8374,0,HU,0
8723,0,231,2018-02-23,2018-10-12,8396,0,DA,1
5928,0,815,2016-07-19,2018-10-12,8479,0,HU,1
2816,1,1784,2013-11-05,2018-09-24,8531,0,HU,0
3590,0,2102,2013-01-09,2018-10-12,8630,0,NO,0
20232,0,975,2016-02-10,2018-10-12,8649,0,HU,1
137168,0,2104,2013-01-07,2018-10-12,8739,0,DA,0
2641,0,2237,2012-06-14,2018-07-30,8749,0,DA,0
3818,0,1352,2015-01-27,2018-10-10,9080,0,DA,0
36641,1,1537,2014-07-28,2018-10-12,9119,0,NO,1
9254,0,579,2017-03-12,2018-10-12,9345,0,DA,1
2185,0,1709,2014-02-02,2018-10-08,9566,0,NO,0
2400,1,926,2016-03-16,2018-09-28,9686,0,NO,0
19368,0,1505,2014-08-29,2018-10-12,10067,0,DA,0
1120,0,1847,2013-09-21,2018-10-12,10069,0,HU,0
705043,1,2212,2012-09-21,2018-10-12,10153,0,HU,0
2289482,0,2458,2012-01-19,2018-10-12,10334,0,HU,0
42165,1,452,2017-07-17,2018-10-12,10449,0,NO,1
32945,1,490,2017-06-09,2018-10-12,10546,0,DA,1
1257,1,738,2016-10-03,2018-10-11,10741,0,NO,0
26899,1,1122,2015-09-16,2018-10-12,10777,0,NO,1
6319,1,660,2016-12-21,2018-10-12,10864,0,DA,1
2771,0,2272,2012-07-18,2018-10-07,11436,0,NO,0
269343,1,1692,2014-02-23,2018-10-12,11461,0,DA,1
867,0,1735,2014-01-10,2018-10-11,11554,0,NO,1
4685,0,651,2016-12-28,2018-10-10,11706,0,DA,1
164261,1,1773,2013-12-04,2018-10-12,11717,0,NO,0
11614,1,2461,2012-01-16,2018-10-12,11902,0,DA,0
11936,0,918,2016-04-07,2018-10-12,11913,0,DA,1
14586,1,2590,2011-09-09,2018-10-12,12158,0,NO,1
7746,0,1695,2014-02-19,2018-10-11,12328,0,DA,1
4970,0,1925,2013-07-05,2018-10-12,12443,0,NO,0
1050,0,300,2017-12-16,2018-10-12,12513,0,HU,0
4469,0,1460,2014-10-12,2018-10-11,12664,0,DA,0
6876,1,2391,2012-03-22,2018-10-08,12711,0,NO,0
5459,0,929,2016-03-24,2018-10-09,12998,0,HU,1
1044,0,1283,2015-04-05,2018-10-09,13077,0,HU,0
12564,1,545,2017-04-15,2018-10-12,13226,0,DA,1
5724,1,2441,2012-01-18,2018-09-24,13590,0,DA,0
3429498,0,1537,2014-07-28,2018-10-12,13772,0,NO,0
16008,1,910,2016-04-14,2018-10-11,13835,0,HU,1
8511,1,576,2017-03-15,2018-10-12,13846,0,HU,1
40076,1,257,2018-01-28,2018-10-12,13910,0,HU,1
2636,0,1158,2015-08-11,2018-10-12,14024,0,DA,1
2314,1,934,2016-03-21,2018-10-11,14159,0,NO,1
2326,0,1521,2014-03-03,2018-05-02,14170,1,DA,0
547,0,1164,2015-07-21,2018-09-27,14334,0,DA,0
2291,0,1049,2015-11-28,2018-10-12,14431,0,HU,0
9834,0,226,2018-02-28,2018-10-12,14550,0,DA,0
9704,0,1741,2014-01-04,2018-10-11,14723,0,HU,0
4400,0,1747,2013-11-10,2018-08-23,15036,0,NO,0
9703,0,930,2016-03-24,2018-10-10,15155,0,HU,1
11592,0,607,2017-02-12,2018-10-12,15438,0,NO,1
4189,0,688,2016-11-19,2018-10-08,15457,0,HU,1
